8.35.192.0,8.35.201.255,Google App Engine,http://cloud.google.com/appengine/
12.16.248.192,12.16.248.199,Media Temple,http://www.mediatemple.net/
12.27.226.168,12.27.226.175,Media Temple,http://www.mediatemple.net/
12.54.126.240,12.54.126.247,GoDaddy.com Inc,http://www.godaddy.com/
12.68.118.64,12.68.118.95,Media Temple,http://www.mediatemple.net/
12.96.160.0,12.96.167.255,SoftLayer,http://www.softlayer.com/
12.132.60.48,12.132.60.55,Media Temple,http://www.mediatemple.net/
12.132.60.72,12.132.60.79,Media Temple,http://www.mediatemple.net/
12.156.0.0,12.156.7.255,SoftLayer,http://www.softlayer.com/
12.177.232.232,12.177.232.239,Peak10,http://www.peak10.com/
12.188.72.56,12.188.72.63,Media Temple,http://www.mediatemple.net/
12.188.78.96,12.188.78.127,Media Temple,http://www.mediatemple.net/
12.193.182.56,12.193.182.63,Ventu,http://Venyu.com/
12.209.217.96,12.209.217.103,Media Temple,http://www.mediatemple.net/
14.102.144.0,14.102.146.255,IP ServerOne,http://ipserverone.com/
14.128.8.0,14.128.11.255,Servenet Solution Limited Partnership,http://servenet.co.th/
14.167.0.0,14.167.255.255,VDC,http://vdc.com.vn/
14.206.0.0,14.206.255.255,Piranha Systems,http://piranha.co.kr/
23.0.0.0,23.15.255.255,Akamai,http://akamai.com/
23.19.0.0,23.19.255.255,Ubiquity Server Solutions,http://www.ubiquityservers.com/
23.20.0.0,23.23.255.255,Amazon AWS,http://www.amazon.com/aws/
23.27.0.0,23.27.255.255,EGI Hosting,http://egihosting.com/
23.29.64.0,23.29.79.255,Gorilla Servers,http://gorillaservers.com/
23.29.112.0,23.29.127.255,Incero,http://www.incero.com/
23.32.0.0,23.67.255.255,Akamai,http://akamai.com/
23.72.0.0,23.79.255.255,Akamai,http://akamai.com/
23.80.0.0,23.83.255.255,Ubiquity Server Solutions,http://www.ubiquityservers.com/
23.90.0.0,23.90.63.255,infinitie.net,http://www.serverhub.com/
23.91.0.0,23.91.31.255,Psychz Networks,http://psychz.net/
23.91.112.0,23.91.127.255,Arvixe,http://www.arvixe.com/
23.92.16.0,23.92.31.255,Linode,http://www.linode.com/
23.92.208.0,23.92.223.255,Centrilogic,http://centrilogic.com/
23.92.224.0,23.93.255.255,VMWare,http://vmware.com/
23.94.0.0,23.95.255.255,ColoCrossing,http://www.colocrossing.com/
23.96.0.0,23.96.64.15,Microsoft Azure,http://www.windowsazure.com/en-us/
23.96.64.64,23.96.64.175,Microsoft Azure,http://www.windowsazure.com/en-us/
23.96.80.0,23.96.127.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.96.176.0,23.96.255.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.97.48.0,23.97.80.15,Microsoft Azure,http://www.windowsazure.com/en-us/
23.97.96.0,23.97.112.143,Microsoft Azure,http://www.windowsazure.com/en-us/
23.97.128.0,23.97.255.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.32.0,23.98.46.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.48.0,23.98.48.31,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.48.80,23.98.48.175,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.48.192,23.98.55.159,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.56.0,23.98.56.111,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.56.128,23.98.56.191,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.57.0,23.98.57.159,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.64.0,23.98.79.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.128.0,23.98.160.31,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.160.48,23.98.160.175,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.160.208,23.98.162.15,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.162.32,23.98.162.47,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.162.64,23.98.162.159,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.162.176,23.98.162.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.164.0,23.98.165.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.167.0,23.98.167.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.169.0,23.98.170.15,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.170.64,23.98.170.95,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.170.128,23.98.170.159,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.171.0,23.98.171.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.173.0,23.98.175.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.192.0,23.98.192.127,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.208.0,23.98.209.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.216.0,23.98.223.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.255.0,23.98.255.47,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.255.64,23.98.255.127,Microsoft Azure,http://www.windowsazure.com/en-us/
23.99.0.0,23.99.32.143,Microsoft Azure,http://www.windowsazure.com/en-us/
23.99.33.0,23.99.33.15,Microsoft Azure,http://www.windowsazure.com/en-us/
23.99.34.0,23.99.37.63,Microsoft Azure,http://www.windowsazure.com/en-us/
23.99.37.80,23.99.37.159,Microsoft Azure,http://www.windowsazure.com/en-us/
23.99.37.176,23.99.38.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.99.40.0,23.99.42.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.99.44.0,23.99.47.79,Microsoft Azure,http://www.windowsazure.com/en-us/
23.99.48.0,23.99.167.31,Microsoft Azure,http://www.windowsazure.com/en-us/
23.99.168.0,23.99.169.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.99.176.0,23.100.127.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.100.192.0,23.101.39.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.101.48.0,23.101.79.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.101.112.0,23.102.80.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.102.128.0,23.102.191.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.102.204.0,23.102.206.143,Microsoft Azure,http://www.windowsazure.com/en-us/
23.102.207.0,23.102.207.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.102.224.0,23.102.255.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.104.0.0,23.111.255.255,Ubiquity Server Solutions,http://www.ubiquityservers.com/
23.192.0.0,23.223.255.255,Akamai,http://akamai.com/
23.226.64.0,23.226.79.255,Input Output Flood LLC,http://ioflood.com/
23.226.128.0,23.226.143.255,Crissic,http://crissic.net/
23.227.160.0,23.227.191.255,Incero,http://incero.com/
